Employee Code,Effective Date,Manager,Compensation,Review,Engagement,Tenure in Org,Variable Pay,End Date
1,2021-01-01,,,,,3,0,2100-01-01
2,2021-01-01,1.0,20000.0,9.5,5.0,3,0,2021-02-28
2,2021-03-01,1.0,20000.0,9.5,4.0,3,0,2021-05-31
2,2021-06-01,1.0,20000.0,9.0,4.0,3,0,2021-12-31
2,2022-01-01,1.0,10000.0,9.0,4.0,3,0,2022-02-28
2,2022-03-01,1.0,10000.0,9.0,5.0,3,0,2022-05-31
2,2022-06-01,1.0,10000.0,9.5,5.0,3,0,2022-12-31
2,2023-01-01,1.0,20000.0,9.5,5.0,3,0,2100-01-01
3,2021-01-01,1.0,20000.0,9.5,5.0,3,0,2021-02-28
3,2021-03-01,1.0,20000.0,9.5,4.0,3,0,2021-05-31
3,2021-06-01,1.0,20000.0,9.0,4.0,3,0,2021-12-31
3,2022-01-01,1.0,10000.0,9.0,4.0,3,0,2022-02-28
3,2022-03-01,1.0,10000.0,9.0,5.0,3,0,2022-05-31
3,2022-06-01,1.0,10000.0,9.5,5.0,3,0,2022-12-31
3,2023-01-01,1.0,20000.0,9.5,5.0,3,0,2100-01-01
